ADDRESS,ADDID,OBJECTID,FOLDERRSN,FOLDERNAME,FOLDERYEAR,FOLDERSEQU,PROPERTYLO,FOLDERDESC,REFERENCEF,INDATE,FOLDERTYPE,SUBDESC,WORKDESC,STATUSDESC,FOLDERDE_1,PROPERTYRS,PROPGISID1,ROUTECODE,USERNAME,EMAILADDRE,ORGANIZATI,NAMEFIRST,NAMELAST
110 SOUTHGATE DR,46087.00000000000,45194,341111,110 Southgate Drive,17,000027,PLAN 680 LOT 29 PT LOT 28 & 30 RP 61R5552 PART 2 61R8709 PART 1,Site Plan Approval,SP16C058,21/12/2016,SP,OTHER,ALTERATION,Open,Parking lot expansion,44345,46087,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Tacoma Engineers Inc.,,

1123 YORK RD,36997.00000000000,26878,335398,1123 York Road,16,004493,PLAN 696 PT BLK 3 RP 61R5430 PARTS 1-6,Site Plan Approval,SP16B029,28/06/2016,SP,INDUSTRIAL,NEW,Open,"New industrial mall building

",45138,36997,1,Ryan Mallory,Ryan.Mallory@guelph.ca,Barzotti Woodworking Limited,,

1131 GORDON ST,7678.00000000000,107,333505,1131 Gordon Street,16,002698,CON 7 PT LOT 4,Zoning Amendment,ZC1609,27/04/2016,ZC,,MAJOR,Open,To permit a proposed cluster townhouse development.,41577,7678,6,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,

1159 VICTORIA RD S,3512.00000000000,32947,210351,1159 Victoria Rd S,10,002667,CON 8 REAR PT LOT 5,Subdivision Approval,23T07506,04/05/2010,SD,RESIDENTIAL,,Open,"To permit the development of a residential subdivision containing a mix of single, semi-detached, townhouse and apartment units.",49891,3512,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

1159 VICTORIA RD S,3512.00000000000,32947,210351,1159 Victoria Rd S,10,002667,CON 8 REAR PT LOT 5,Subdivision Approval,23T07506,04/05/2010,SD,RESIDENTIAL,,Open,"To permit the development of a residential subdivision containing a mix of single, semi-detached, townhouse and apartment units.",49891,3512,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Victoria Park Golf Club West,,

1159 VICTORIA RD S,3512.00000000000,32947,286857,1159 Victoria Rd S,12,016643,CON 8 REAR PT LOT 5,Site Plan Approval,SP12A042,16/11/2012,SP,TOWNHOUSE DWELLING,NEW,Open,Townhouse Development,49891,3512,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Metropolitan Consulting Inc.,,

1159 VICTORIA RD S,3512.00000000000,32947,286857,1159 Victoria Rd S,12,016643,CON 8 REAR PT LOT 5,Site Plan Approval,SP12A042,16/11/2012,SP,TOWNHOUSE DWELLING,NEW,Open,Townhouse Development,49891,3512,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Stantec Consulting Ltd.,,

1159 VICTORIA RD S,3512.00000000000,32947,286858,1159 Victoria Rd S,12,016644,CON 8 REAR PT LOT 5,Site Plan Approval,SP12A043,16/11/2012,SP,TOWNHOUSE DWELLING,NEW,Open,Townhouse Development,49891,3512,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Metropolitan Consulting Inc.,,

1159 VICTORIA RD S,3512.00000000000,32947,341844,1159 Victoria Road S,17,000719,CON 8 REAR PT LOT 5,Condo Approval,23CDM17501,03/02/2017,CD,RESIDENTIAL TOWNHOUSE - CLUSTER,NEW DEVELOPMENT,Open,Residential condominium - townhouse,49891,3512,6,Michael Witmer,Michael.Witmer@guelph.ca,IBI Group,,

12 BRANT AVE,24916.00000000000,32885,333599,12 Brant Avenue,16,002791,PLAN 589 PT BLK B,Site Plan Approval,SP16A015,25/04/2016,SP,APARTMENT DWELLING,ADDITION,Open,Addition to an existing apartment building.,15839,24916,2,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,

1229 VICTORIA RD S,1229.00000000000,31840,323118,1229 Victoria Road S,15,004122,"PART LOT10, CON 8, PARTS 2 & 3, 61R-11983 and PART LOT 10, CON 8, PART 20, RP 61R-20104",Zoning Amendment,ZC1507,07/05/2015,ZC,,MAJOR,Open,To permit a proposed four storey apartment building and a neighbourhood commercial plaza. Note: Under Appeal.,81455,1229,6,Michael Witmer,Michael.Witmer@guelph.ca,Reid's Heritage Homes Ltd.,,

1229 VICTORIA RD S,1229.00000000000,31840,327036,1229 Victoria Road S,15,007820,"PART LOT10, CON 8, PARTS 2 & 3, 61R-11983 and PART LOT 10, CON 8, PART 20, RP 61R-20104",Site Plan Approval,SP15A049,15/09/2015,SP,APARTMENT DWELLING,NEW,Open,New Residential Apartment Building,81455,1229,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Reid's Heritage Homes Ltd.,,

129 ELMIRA RD S,47112.00000000000,30878,321990,141 Elmira Road S,15,003043,"CON 2 DIV E PTLOT 4, PTLTS 5, 6, CON 1, DIV B, PART ORIGINAL ROAD ALLOWANCE BETWEEN DIVISION 'B' & 'E', RP61R-20091, PARTS 23-26, SUBJECT TO AND TOGETHER WITH EASEMENTS",Site Plan Approval,SP15C030,29/04/2015,SP,COMMERCIAL,NEW,Open,Retail Warehouse Establishment,85318,47112,0,Ryan Mallory,Ryan.Mallory@guelph.ca,KWA Site Development Consulting Inc.,,

132 CLAIR RD W,26078.00000000000,43117,327615,132 Clair Road W,15,008369,CON 7 REAR PT LOTS 1112 RP 61R952 PART 1,Zoning Amendment,ZC1510,10/09/2015,ZC,,MAJOR,Open,"To permit the development of a corporate business park block, a commercial block, a future development block, a stormwater management block and a road widening block.",50783,26078,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Astrid J. Clos Planning Consultants,,

132 CLAIR RD W,26078.00000000000,43117,327615,132 Clair Road W,15,008369,CON 7 REAR PT LOTS 1112 RP 61R952 PART 1,Zoning Amendment,ZC1510,10/09/2015,ZC,,MAJOR,Open,"To permit the development of a corporate business park block, a commercial block, a future development block, a stormwater management block and a road widening block.",50783,26078,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"c/o Pat Morris, McElderry & Morris","McEnery Industries Ltd., H & J","Holdings Ltd. Frank Cerniuk, etc."

132 CLAIR RD W,26078.00000000000,43117,327620,132 Clair Road W,15,008374,CON 7 REAR PT LOTS 1112 RP 61R952 PART 1,Subdivision Approval,23T15501,14/09/2015,SD,OTHER,,Open,"A draft plan of subdivision to permit the development of: a corporate business park block, a commercial block, a future development block, a stormwater management block and a road widening block.",50783,26078,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Astrid J. Clos Planning Consultants,,

144 WATSON RD N,14619.00000000000,13881,340781,144 Watson Road N,16,008728,"DIV C CON 3 PT LOT 5, RP 61R9256 PART 2",Site Plan Approval,SP16A055,07/12/2016,SP,APARTMENT DWELLING,NEW,Open,New apartment building,82115,14619,0,Ryan Mallory,Ryan.Mallory@guelph.ca,ABA Architects Inc.,,

146 DOWNEY RD,2442.00000000000,35296,304448,146 Downey Rd,14,001691,"CON 5 PT LOT 16 PT RD ALLOW DES INC RP 61R4108 PART 2, RP 61R11770, PARTS 1-3",Condo Approval,23CDM14503,10/03/2014,CD,TOWNHOUSE-ON STREET./CLUSTER,NEW DEVELOPMENT,Open,Proposed Residential Condominium,44605,2442,6,Michael Witmer,Michael.Witmer@guelph.ca,Seaton Ridge Communities,,

146 SPEEDVALE AVE W,46420.00000000000,33195,320833,146 Speedvale Ave W,15,001950,"ALL LOTS 39, 42, PLAN 547 SAVE & EXCEPT PARTS 1, 2 & 3, REFERENCE PLAN 61R-11554",Site Plan Approval,SP15C023,23/03/2015,SP,COMMERCIAL,ALTERATION,Open,Gas Station,20406,46420,0,Ryan Mallory,Ryan.Mallory@guelph.ca,D.G. Biddle & Associates Ltd.,,

150 DELHI ST,33774.00000000000,34415,298276,148-160 Delhi St,13,009630,"280-300 ARTHUR N & 49 EMMA DIV F PT BR FR LT 2, C 1 PT LOTS 10-13, P 221 LT 1 P 40 LT A,25,26 PT PERTH&KING CL",Site Plan Approval,SP13C039,18/09/2013,SP,GOVERNMENT/INSTITUTIONAL,NEW,Open,New Institutional Building,11201,33774,2,Ryan Mallory,Ryan.Mallory@guelph.ca,GSP Group Inc.,,

150 WESTWOOD RD,10688.00000000000,30777,329750,150 Westwood Road,15,009624,PLAN 615 BLK S,Site Plan Approval,SP15C059,17/11/2015,SP,GOVERNMENT/INSTITUTIONAL,NEW,Open,New Maintenance and Operations Building & addition to Administrative Building,27586,10688,4,Ryan Mallory,Ryan.Mallory@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

180 HANLON CREEK BLVD,38222.00000000000,45144,344652,190 Hanlon Creek Boulevard,17,003325,"PLAN 61M169 BLOCK 36, RP61R20338, PARTS 2, 3",Site Plan Approval,SP17C022,24/05/2017,SP,GOVERNMENT/INSTITUTIONAL,NEW,Open,Humane Society building,83037,38222,6,,,The Guelph Humane Society Incorporated,,

1858 GORDON ST,10817.00000000000,690,325413,87 Poppy Drive E,15,006341,CON 8 PT LOT 11 - TO BE UPDATED BY CofA,Condo Approval,23CDM23506,20/07/2015,CD,RESIDENTIAL TOWNHOUSE - CLUSTER,NEW DEVELOPMENT,Open,Proposed residential condominium - townhouse.,81223,10817,6,Michael Witmer,Michael.Witmer@guelph.ca,Reid's Heritage Homes Ltd.,,

1888 GORDON ST,13439.00000000000,11006,341491,1888 Gordon Street,17,000390,"CON 8 FRONT PT LOT 11, RP 61R20131 PARTS 1, 2, 3",Zoning Amendment,ZC1701,17/01/2017,ZC,,MAJOR,Open,To permit a proposed high density residential development,49916,13439,6,Chris DeVriendt,chris.devriendt@guelph.ca,Stantec Consulting,,

1888 GORDON ST,13439.00000000000,11006,341502,1888 Gordon Street,17,000401,"CON 8 FRONT PT LOT 11, RP 61R20131 PARTS 1, 2, 3",Official Plan Amendment,OP1701,17/01/2017,OP,LAND USE CHANGE,MAJOR,Open,Proposed OPA to allow high density residential,49916,13439,6,Chris DeVriendt,chris.devriendt@guelph.ca,Stantec Consulting,,

1888 GORDON ST,13439.00000000000,11006,342691,1888 Gordon Street,17,001503,"CON 8 FRONT PT LOT 11, RP 61R20131 PARTS 1, 2, 3",Site Plan Approval,SP17A011,15/03/2017,SP,APARTMENT DWELLING,NEW,Open,Residential apartment and townhouse units,49916,13439,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Stantec Consulting,,

19 LOWES RD,7839.00000000000,6733,337525,19 Lowes Road,16,006484,PLAN 508 LOT 3,Zoning Amendment,ZC1615,01/09/2016,ZC,,MAJOR,Open,To permit a proposed cluster townhouse development.,42753,7839,6,Michael Witmer,Michael.Witmer@guelph.ca,Reid's Heritage Homes Ltd.,,

195 HANLON CREEK BLVD,9194.00000000000,45175,336932,225 Hanlon Creek Boulevard,16,005941,"PLAN 61M169 PART OF BLOCK 11, RP 61R11905 PARTS 1, 2, 3, 4",Site Plan Approval,SP16B044,26/08/2016,SP,INDUSTRIAL,NEW,Open,Phase 2 Industrial Building,80973,9194,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Ramar Contractors Inc.,,

20 CITYVIEW DR N,6447.00000000000,4854,272002,20 and 37 Cityview Dr N,12,002995,PLAN 53 PT LOT 33,Zoning Amendment,ZC1208,23/03/2012,ZC,,MAJOR,Open,To permit a residential subdivision.,8795,6447,1,Chris DeVriendt,chris.devriendt@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

20 CITYVIEW DR N,6447.00000000000,4854,272006,20 and 37 Cityview Dr N,12,002999,PLAN 53 PT LOT 33,Subdivision Approval,23T12502,23/03/2012,SD,RESIDENTIAL,,Open,To permit a residential subdivision containing approximately 264 units.,8795,6447,1,Chris DeVriendt,chris.devriendt@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

201 WOODLAWN RD W,11589.00000000000,8162,340758,201 Woodlawn Road W,16,008705,DIV D CON 4 PT LOTS 123 RP 61R4151 PART 1 PART 8 PART 10 PART 10,Site Plan Approval,SP16B054,06/12/2016,SP,INDUSTRIAL,ALTERATION,Open,Parking lot expansion,24209,11589,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Tacoma Engineers Inc.,,

206 SPEEDVALE AVE W,31037.00000000000,21429,344637,206 Speedvale Avenue W,17,003311,PLAN 596 LOT 8,Site Plan Approval,SP17C020,23/05/2017,SP,COMMERCIAL,ALTERATION,Open,Addition of Gas Bar,23694,31037,3,,,PetroMaxx Construction ON LLP,,

22 MARSHALL DR,8446.00000000000,1542,336095,22 Marshall Drive,16,005156,"PLAN 61M166, BLOCK 84",Site Plan Approval,SP16A037,27/07/2016,SP,TOWNHOUSE DWELLING,NEW,Open,cluster townhouse development,79858,8446,1,Ryan Mallory,Ryan.Mallory@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

221 WOOLWICH ST,3823.00000000000,6073,333773,221 Woolwich Street,16,002948,PLAN 35 PT LOT 21 PT LOT 22 LOT 19,Site Plan Approval,SP16C018,03/05/2016,SP,COMMERCIAL RESIDENTIAL,ADDITION,Open,Removal and Addition to the exisitng building.,10400,3823,2,Ryan Mallory,Ryan.Mallory@guelph.ca,L. Alan Grinham Architect Inc.,,

222 SPEEDVALE AVE W,10410.00000000000,4528,333741,222 Speedvale Avenue W,16,002916,PLAN 596 LOT 14,Site Plan Approval,SP16C017,28/04/2016,SP,COMMERCIAL,ALTERATION,Open,Addition to Existing Lube Shop and a New 2 Bay Car Wash,23721,10410,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Cotton Project Coordinators,,

237 JANEFIELD AVE,8400.00000000000,27334,344204,237 Janefield Avenue,17,002910,PLAN 649 PT BLK L RP 61R2930 PARTS 3 & 4,Zoning Amendment,ZC1702,03/05/2017,ZC,,MAJOR,Open,* Insert description of application here *,38878,8400,5,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,

237 JANEFIELD AVE,8400.00000000000,27334,344206,237 Janefield Avenue,17,002912,PLAN 649 PT BLK L RP 61R2930 PARTS 3 & 4,Official Plan Amendment,OP1702,03/05/2017,OP,LAND USE CHANGE,MAJOR,Open,* Insert description of application here *,38878,8400,5,Katie Nasswetter,katie.nasswetter@guelph.ca,Astrid J. Clos Planning Consultants,,

24 LANDSDOWN DR,14839.00000000000,15873,303036,24 Landsdown Dr,13,000324,PLAN 488 LOT 8 PT LOTS 6 & 7,Condo Approval,23CDM13507,20/12/2013,CD,RESIDENTIAL,VACANT LAND,Open,Proposed Vacant Land Condominium for a 27 unit single detached dwelling development.,3989,14839,6,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,Astrid J. Clos Planning Consultants,,

240 MASSEY RD,13539.00000000000,13699,340856,240 Massey Road,16,008800,PLAN 618 LOT 64 PT LOT 76 PT LOT 61 RP 61R619 PART 3 DES INC RP 61R2154 PART 1,Site Plan Approval,SP16B056,07/12/2016,SP,COMMERCIAL,NEW,Open,Demolish existing and add new warehouse building,25173,13539,4,Ryan Mallory,Ryan.Mallory@guelph.ca,Tacoma Engineers Inc.,,

245 HANLON CREEK BLVD,40962.00000000000,45221,331784,245 Hanlon Creek Boulevard,16,001067,"PLAN 61M169 PART OF BLOCKS 10 & 11, RP 61R11661 PARTS 4, 5, & 6",Site Plan Approval,SP16C005,17/02/2016,SP,COMMERCIAL,NEW,Open,New Commercial Building,80292,40962,6,Ryan Mallory,Ryan.Mallory@guelph.ca,James Fryett Architect Inc.,,

25 MCGILVRAY ST,25827.00000000000,34038,342506,25 McGilvray Street Bldg  077,17,001333,,Site Plan Approval,SP17C008,08/03/2017,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,Addition to Ontario Veterinary College,54292,25827,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Chernoff Thompson Architects,,

25 WILBERT ST,45966.00000000000,32552,331900,25 Wilbert Street,16,001183,"PLAN 61M126 PT BLOCK 8, RP 61R11980 PART 2",Site Plan Approval,SP16C006,23/02/2016,SP,INDUSTRIAL,NEW,Open,Proposed new shed in the parking depot.,79582,45966,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Van Harten Surveying Inc.,,

265 EDINBURGH RD N,11120.00000000000,35074,331444,265 Edinburgh Road N,16,000762,"Part lots 4, 5, 6 & 7, Range 4, Division A, designated as Part 1, Reference Plan 61R-20620",Site Plan Approval,SP16C002,03/02/2016,SP,COMMERCIAL,NEW,Open,Development of new commercial buildings,84467,11120,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Spec Construction Inc.,,

282 VICTORIA RD N,38239.00000000000,37402,322141,282 Victoria Rd N,15,003182,AND 475-485 SPEEDVALE AVE E DIV F PT LOT 5 W/S ERAMOSA,Zoning Amendment,ZC1505,04/05/2015,ZC,,MINOR,Open,To permit additional use,13171,38239,2,Michael Witmer,Michael.Witmer@guelph.ca,Astrid J. Clos Planning Consultants,,

286 WATER ST,31466.00000000000,30756,334450,286 Water Street,16,003594,CON 4 DIV G PT LOT 1,Site Plan Approval,SP16C023,24/05/2016,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,Second floor addition and new gymnasium and additional parking.,37722,31466,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Astrid J. Clos Planning Consultants,,

287 WATER ST,29546.00000000000,27563,335960,287 Water Street,16,005031,CON 4 DIV G PT BF LOT,Site Plan Approval,SP16C034,20/07/2016,SP,GOVERNMENT/INSTITUTIONAL,ADDITION,Open,"Addition to existing sanctuary, demolition of existing house and expansion of parking area",37602,29546,5,Ryan Mallory,Ryan.Mallory@guelph.ca,Dickinson & Hicks Architects Inc.,,

3 CANDLEWOOD DR,48529.00000000000,44743,340254,3 Candlewood Drive,16,008241,PLAN 61M8 BLOCK 127 and 128,Site Plan Approval,SP16A053,16/11/2016,SP,APARTMENT DWELLING,NEW,Open,2 new Apartment Buildings,55416,48529,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Highstreet Land Holdings Ltd.,,

33 ARKELL RD,11199.00000000000,1271,325804,33 Arkell Road,15,006711,CON 8 PT LOT 7,Zoning Amendment,ZC1509,07/08/2015,ZC,,MAJOR,Open,To permit the development of an apartment building.,3533,11199,6,Chris DeVriendt,chris.devriendt@guelph.ca,Astrid J. Clos Planning Consultants,,

35 COWAN PL,43832.00000000000,45177,335956,35 Cowan Place,16,005027,"PLAN 680 PT LOT 1, RP 61R9344 PARTS 7 TO 12",Site Plan Approval,SP16C033,15/07/2016,SP,COMMERCIAL,ALTERATION,Open,Alterations to the approved plans built hotel.,63008,43832,0,Ryan Mallory,Ryan.Mallory@guelph.ca,API Development Consultants,,

360 WOOLWICH ST,28360.00000000000,15766,309878,360 Woolwich St,14,003997,PLAN 38 PT LOT 17,Zoning Amendment,ZC1407,21/05/2014,ZC,,MAJOR,Open,To permit a proposed addition of 6 residential apartment units along Mont Street together with existing office and residential space within the existing building at 360 Woolwich Street. Note: Under Appeal.,17882,28360,3,Chris DeVriendt,chris.devriendt@guelph.ca,J. David McAuley Architects Inc.,,

385 MACALISTER BLVD,45786.00000000000,32567,324020,385 Macalister Boulevard,15,005004,PLAN 61M161 BLOCK 52,Site Plan Approval,SP15C035,18/06/2015,SP,COMMERCIAL,NEW,Open,New Commercial Plaza,79087,45786,6,Ryan Mallory,Ryan.Mallory@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

389 SPEEDVALE AVE W,7289.00000000000,5078,337068,389 Speedvale Avenue W,16,006074,PLAN 599 PT LOT 7 RP 61R956 PART 2,Site Plan Approval,SP16C045,29/08/2016,SP,COMMERCIAL,ALTERATION,Open,Conversion of existing property to self-storage facility,26140,7289,4,Ryan Mallory,Ryan.Mallory@guelph.ca,Argent Architecture + Design,,

395 SOUTHGATE DR,16332.00000000000,43654,334008,395 Southgate Drive,16,003174,"PLAN 680 LOT 10 LOT 11 SAVE AND EXCEPT PARTS 1 TO 3, RP 61R-6699 AND PT RD ALLOWANCE DESC INCL RP 61R6428 PARTS 4 AND 5",Site Plan Approval,SP16C019,12/05/2016,SP,COMMERCIAL OFFICE,ADDITION,Open,Second storey addition to existing building.,44320,16332,6,Ryan Mallory,Ryan.Mallory@guelph.ca,Stafford Haensli Architects,,

400 ELIZABETH ST,7029.00000000000,113,342510,400 Elizabeth Street,17,001336,DIV C CON 3 PT LOT 1 PLAN 53 PT LOT 39,Site Plan Approval,SP17B009,08/03/2017,SP,INDUSTRIAL,ADDITION,Open,Partial demolion and addition to existing industrial plaza building,2356,7029,1,Ryan Mallory,Ryan.Mallory@guelph.ca,Tacoma Engineers Inc.,,

425 ELIZABETH ST,4271.00000000000,8616,337165,425 Elizabeth Street,16,006128,DIV C CON 3 PT LOT 1,Site Plan Approval,SP16B046,01/09/2016,SP,INDUSTRIAL,ADDITION,Open,Partial demolition and additions to industrial building,2419,4271,1,Ryan Mallory,Ryan.Mallory@guelph.ca,L. Alan Grinham Architect Inc.,,

45 YARMOUTH ST,11381.00000000000,2503,328410,45 Yarmouth Street,15,009137,PLAN 8 PT LOTS 90 & 91 RP 61R4481 PARTS 1&5 TOG WITH & SUBJ TO ROW,Site Plan Approval,SP15A054,28/10/2015,SP,APARTMENT DWELLING,NEW,Open,New residential apartment building,4309,11381,1,Ryan Mallory,Ryan.Mallory@guelph.ca,Zelinka Priamo Ltd.,,

46 HYLAND RD,25743.00000000000,31081,331245,"46, 47 and 87 Hyland Road",16,000569,PLAN 359 PT LOT 12 RP 61R633 PART 1,Subdivision Approval,23T16501,11/01/2016,SD,RESIDENTIAL,,Open,Draft Plan of Subdivision to permit 19 single detached lots.,8466,25743,2,Chris DeVriendt,chris.devriendt@guelph.ca,Van Harten Surveying Inc.,,

46 HYLAND RD,25743.00000000000,31081,331685,46 Hyland Road,16,000987,PLAN 359 PT LOT 12 RP 61R633 PART 1,Zoning Amendment,ZC1601,11/02/2016,ZC,,MINOR,Open,To permit a proposed residential subdivision containing 19 single detached lots.,8466,25743,2,Chris DeVriendt,chris.devriendt@guelph.ca,,John,Dunnink

460 ELIZABETH ST,13177.00000000000,35175,344201,460 Elizabeth Street,17,002907,"49-59 SUBURBAN&38-58, 53 BEAUMONT PLAN 396 LOTS 20-26 29 PT LT 1819 DIV C C3 PT 2 - TO BE UPDATED WHEN CONSOLIDATED",Site Plan Approval,SP17B017,09/05/2017,SP,INDUSTRIAL,ALTERATION,Open,Parking lot expansion,2385,13177,1,Ryan Mallory,Ryan.Mallory@guelph.ca,Durose Manufacturing Limited,,

5 WILSONVIEW AVE,40881.00000000000,27376,338481,5-7 Wilsonview Avenue,16,007359,DIV G CON 4 PT LOT 7,Site Plan Approval,SP16A051,12/10/2016,SP,APARTMENT DWELLING,NEW,Open,New apartment building,40477,40881,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Labreche Patterson & Associates Inc.,,

50 CUTTEN PL,24508.00000000000,45096,344649,50 Cutten Place,17,003322,"PLAN 680 PT LOTS 41 42, RP 61R9810 PART 2",Site Plan Approval,SP17B021,23/05/2017,SP,INDUSTRIAL,ADDITION,Open,Industrial addition,60555,24508,6,,,Seberras Professional Services Ltd.,,

50 STONE RD E,38074.00000000000,30942,326479,781 Victoria Road S,15,007310,"CONCESSION 8 PART OF LOT 2, RP 61R20556 PART 1",Condo Approval,23CDM15507,02/09/2015,CD,RESIDENTIAL,VACANT LAND,Open,Proposed Vacant Land Condominium for a 18 unit single detached dwelling development.,82624,38074,0,Michael Witmer,Michael.Witmer@guelph.ca,Stantec Consulting Ltd.,,

